time;solar;injection;conso;power_limit;delay
2025-08-07 14:32:58.735;438;-5;443;-1;
2025-08-07 14:32:59.235;438;4;434;-1;
2025-08-07 14:32:59.735;438;4;434;-1;
2025-08-07 14:33:00.235;439;16;423;-1;
2025-08-07 14:33:00.738;439;16;423;-1;
2025-08-07 14:33:01.236;445;27;418;-1;
2025-08-07 14:33:01.735;445;27;418;-1;
2025-08-07 14:33:02.235;453;29;424;-1;
2025-08-07 14:33:02.735;453;29;424;-1;
2025-08-07 14:33:03.450;483;66;417;-1;
2025-08-07 14:33:03.734;483;66;417;-1;
2025-08-07 14:33:04.235;497;67;430;-1;
2025-08-07 14:33:04.734;497;67;430;-1;
2025-08-07 14:33:05.240;512;37;475;-1;
2025-08-07 14:33:05.735;512;37;475;-1;
2025-08-07 14:33:06.235;542;-134;676;-1;
2025-08-07 14:33:06.735;542;-134;676;-1;
2025-08-07 14:33:07.235;695;42;653;-1;
2025-08-07 14:33:07.735;695;42;653;-1;
2025-08-07 14:33:08.235;678;-10;688;-1;
2025-08-07 14:33:08.734;678;-10;688;-1;
2025-08-07 14:33:09.234;710;67;643;-1;
2025-08-07 14:33:09.735;710;67;643;-1;
2025-08-07 14:33:10.235;745;319;426;-1;
2025-08-07 14:33:10.735;745;319;426;-1;
2025-08-07 14:33:11.238;791;346;445;-1;
2025-08-07 14:33:11.735;791;346;445;-1;
2025-08-07 14:33:12.235;815;373;442;-1;
2025-08-07 14:33:12.734;815;373;442;-1;
2025-08-07 14:33:13.234;853;410;443;-1;
2025-08-07 14:33:13.499;9;write_maxpower_HTTP. Ecriture HTTP de maxpower = 132W pour 3 devices
2025-08-07 14:33:13.735;853;410;443;-1;
2025-08-07 14:33:14.239;901;472;429;-1;
2025-08-07 14:33:14.735;901;472;429;-1;
2025-08-07 14:33:15.235;982;555;427;-1;
2025-08-07 14:33:15.735;982;555;427;-1;
2025-08-07 14:33:16.235;1018;593;425;-1;
2025-08-07 14:33:16.734;1018;593;425;-1;
2025-08-07 14:33:17.236;1084;657;427;-1;
2025-08-07 14:33:17.735;1084;657;427;-1;
2025-08-07 14:33:18.234;1086;659;427;-1;
2025-08-07 14:33:18.734;1086;659;427;-1;
2025-08-07 14:33:19.236;1130;707;423;-1;
2025-08-07 14:33:19.293;9;write_maxpower_HTTP. Fin d'exécution de la procédure
