time;solar;injection;conso;power_limit;delay
2025-08-07 14:03:44.302;1851;-562;2413;-1;
2025-08-07 14:03:44.801;1851;-562;2413;-1;
2025-08-07 14:03:45.301;1844;-551;2395;-1;
2025-08-07 14:03:45.801;1844;-551;2395;-1;
2025-08-07 14:03:46.301;1841;-551;2392;-1;
2025-08-07 14:03:46.802;1841;-551;2392;-1;
2025-08-07 14:03:47.301;1846;-546;2392;-1;
2025-08-07 14:03:47.801;1846;-546;2392;-1;
2025-08-07 14:03:48.301;1846;-549;2395;-1;
2025-08-07 14:03:48.801;1846;-549;2395;-1;
2025-08-07 14:03:49.300;1845;-543;2388;-1;
2025-08-07 14:03:49.800;1845;-543;2388;-1;
2025-08-07 14:03:50.301;1842;-532;2374;-1;
2025-08-07 14:03:50.801;1842;-532;2374;-1;
2025-08-07 14:03:51.381;1846;-523;2369;-1;
2025-08-07 14:03:52.010;1846;-523;2369;-1;
2025-08-07 14:03:52.301;1845;-531;2376;-1;
2025-08-07 14:03:52.881;1845;-531;2376;-1;
2025-08-07 14:03:53.523;1845;-529;2374;-1;
2025-08-07 14:03:53.848;1845;-529;2374;-1;
2025-08-07 14:03:54.416;1846;-520;2366;-1;
2025-08-07 14:03:54.915;1846;-520;2366;-1;
2025-08-07 14:03:55.335;1844;-541;2385;-1;
2025-08-07 14:03:55.800;1844;-541;2385;-1;
2025-08-07 14:03:56.300;1845;-534;2379;-1;
2025-08-07 14:03:56.800;1845;-534;2379;-1;
2025-08-07 14:03:57.300;1846;-534;2380;-1;
2025-08-07 14:03:57.468;9;write_maxpower_HTTP. Ecriture HTTP de maxpower = 396W pour 3 devices
2025-08-07 14:03:57.800;1846;-534;2380;-1;
2025-08-07 14:03:58.301;1846;-526;2372;-1;
2025-08-07 14:03:58.801;1846;-526;2372;-1;
2025-08-07 14:03:59.301;1847;-518;2365;-1;
2025-08-07 14:03:59.800;1847;-518;2365;-1;
2025-08-07 14:04:00.301;1846;-521;2367;-1;
2025-08-07 14:04:00.800;1846;-521;2367;-1;
2025-08-07 14:04:01.300;1846;-517;2363;-1;
2025-08-07 14:04:01.800;1846;-517;2363;-1;
2025-08-07 14:04:02.300;1848;-516;2364;-1;
2025-08-07 14:04:02.588;9;write_maxpower_HTTP. Fin d'exécution de la procédure
2025-08-07 14:04:02.800;1848;-516;2364;-1;
2025-08-07 14:04:03.301;1849;-515;2364;-1;
2025-08-07 14:04:03.800;1849;-515;2364;-1;
2025-08-07 14:04:04.300;1849;-517;2366;-1;
2025-08-07 14:04:04.800;1849;-517;2366;-1;
2025-08-07 14:04:05.300;1851;-519;2370;-1;
2025-08-07 14:04:05.800;1851;-519;2370;-1;
2025-08-07 14:04:06.300;1847;-513;2360;-1;
2025-08-07 14:04:06.800;1847;-513;2360;-1;
2025-08-07 14:04:07.300;1846;-515;2361;-1;
2025-08-07 14:04:07.800;1846;-515;2361;-1;
2025-08-07 14:04:08.303;1847;-515;2362;-1;
2025-08-07 14:04:08.800;1847;-515;2362;-1;
2025-08-07 14:04:09.302;1847;-518;2365;-1;
2025-08-07 14:04:09.800;1847;-518;2365;-1;
2025-08-07 14:04:10.300;1849;-523;2372;-1;
