time;solar;injection;conso;power_limit;delay
2025-08-07 14:14:16.777;1839;1348;491;-1;
2025-08-07 14:14:17.278;1841;1396;445;-1;
2025-08-07 14:14:17.777;1841;1396;445;-1;
2025-08-07 14:14:18.277;1840;1408;432;-1;
2025-08-07 14:14:18.777;1840;1408;432;-1;
2025-08-07 14:14:19.277;1837;1386;451;-1;
2025-08-07 14:14:19.778;1837;1386;451;-1;
2025-08-07 14:14:20.278;1840;1431;409;-1;
2025-08-07 14:14:20.777;1840;1431;409;-1;
2025-08-07 14:14:21.278;1837;1388;449;-1;
2025-08-07 14:14:21.777;1837;1388;449;-1;
2025-08-07 14:14:22.277;1836;1394;442;-1;
2025-08-07 14:14:22.777;1836;1394;442;-1;
2025-08-07 14:14:23.278;1838;1377;461;-1;
2025-08-07 14:14:23.777;1838;1377;461;-1;
2025-08-07 14:14:24.278;1838;1576;262;-1;
2025-08-07 14:14:24.777;1838;1576;262;-1;
2025-08-07 14:14:25.278;1835;1586;249;-1;
2025-08-07 14:14:25.777;1835;1586;249;-1;
2025-08-07 14:14:26.277;1841;1596;245;-1;
2025-08-07 14:14:26.777;1841;1596;245;-1;
2025-08-07 14:14:27.277;1837;1592;245;-1;
2025-08-07 14:14:27.777;1837;1592;245;-1;
2025-08-07 14:14:27.890;9;write_maxlimit_Modbus. Ecriture Modbus de power_limit = 50% (valeur 500 écrite dans le registre 40189)
2025-08-07 14:14:28.045;9;write_maxlimit_Modbus. Fin d'exécution de la procédure
2025-08-07 14:14:28.277;1838;1572;266;-1;
2025-08-07 14:14:28.776;1838;1572;266;-1;
2025-08-07 14:14:29.276;1836;1566;270;-1;
2025-08-07 14:14:29.777;1836;1566;270;-1;
2025-08-07 14:14:30.277;1832;1369;463;-1;
2025-08-07 14:14:30.777;1832;1369;463;-1;
2025-08-07 14:14:31.277;1799;1323;476;-1;
2025-08-07 14:14:31.777;1799;1323;476;-1;
2025-08-07 14:14:32.277;1741;1281;460;-1;
2025-08-07 14:14:32.776;1741;1281;460;-1;
2025-08-07 14:14:33.277;1690;1263;427;-1;
