time;solar;injection;conso;power_limit;delay
2025-08-07 14:44:58.708;1836;1355;481;-1;
2025-08-07 14:44:59.208;1836;1355;481;-1;
2025-08-07 14:44:59.709;1836;1342;494;-1;
2025-08-07 14:45:00.209;1836;1342;494;-1;
2025-08-07 14:45:00.708;1840;1547;293;-1;
2025-08-07 14:45:01.208;1840;1547;293;-1;
2025-08-07 14:45:01.709;1833;1541;292;-1;
2025-08-07 14:45:02.209;1833;1541;292;-1;
2025-08-07 14:45:02.708;1833;1540;293;-1;
2025-08-07 14:45:03.208;1833;1540;293;-1;
2025-08-07 14:45:03.709;1837;1560;277;-1;
2025-08-07 14:45:04.208;1837;1560;277;-1;
2025-08-07 14:45:04.708;1838;1558;280;-1;
2025-08-07 14:45:05.208;1838;1558;280;-1;
2025-08-07 14:45:05.709;1839;1321;518;-1;
2025-08-07 14:45:06.207;1839;1321;518;-1;
2025-08-07 14:45:06.708;1837;1336;501;-1;
2025-08-07 14:45:07.208;1837;1336;501;-1;
2025-08-07 14:45:07.708;1837;1402;435;-1;
2025-08-07 14:45:08.208;1837;1402;435;-1;
2025-08-07 14:45:08.708;1838;1307;531;-1;
2025-08-07 14:45:09.207;1838;1307;531;-1;
2025-08-07 14:45:09.708;1838;1287;551;-1;
2025-08-07 14:45:10.207;1838;1287;551;-1;
2025-08-07 14:45:10.709;1840;1174;666;-1;
2025-08-07 14:45:11.207;1840;1174;666;-1;
2025-08-07 14:45:11.708;1836;1297;539;-1;
2025-08-07 14:45:12.207;1836;1297;539;-1;
2025-08-07 14:45:12.708;1835;1316;519;-1;
2025-08-07 14:45:13.207;1835;1316;519;-1;
2025-08-07 14:45:13.708;1837;1316;521;-1;
2025-08-07 14:45:14.239;1837;1316;521;-1;
2025-08-07 14:45:14.708;1840;1368;472;-1;
2025-08-07 14:45:15.207;1840;1368;472;-1;
2025-08-07 14:45:15.707;1837;1533;304;-1;
2025-08-07 14:45:16.207;1837;1533;304;-1;
2025-08-07 14:45:16.707;1837;1537;300;-1;
2025-08-07 14:45:17.207;1837;1537;300;-1;
2025-08-07 14:45:17.708;1837;1525;312;-1;
2025-08-07 14:45:18.207;1837;1525;312;-1;
2025-08-07 14:45:18.708;1837;1531;306;-1;
2025-08-07 14:45:19.207;1837;1531;306;-1;
2025-08-07 14:45:19.707;1834;1534;300;-1;
2025-08-07 14:45:20.207;1834;1534;300;-1;
2025-08-07 14:45:20.707;1839;1350;489;-1;
2025-08-07 14:45:21.207;1839;1350;489;-1;
2025-08-07 14:45:21.707;1839;1404;435;-1;
2025-08-07 14:45:22.207;1839;1404;435;-1;
2025-08-07 14:45:22.707;1839;1288;551;-1;
2025-08-07 14:45:23.207;1839;1288;551;-1;
2025-08-07 14:45:23.707;1836;1312;524;-1;
2025-08-07 14:45:24.207;1836;1312;524;-1;
