time;solar;injection;conso;power_limit;delay
2025-08-07 13:54:02.823;658;394;264;-1;
2025-08-07 13:54:03.547;658;413;245;-1;
2025-08-07 13:54:03.823;658;413;245;-1;
2025-08-07 13:54:04.324;659;413;246;-1;
2025-08-07 13:54:04.823;659;413;246;-1;
2025-08-07 13:54:05.323;659;409;250;-1;
2025-08-07 13:54:05.823;659;409;250;-1;
2025-08-07 13:54:06.324;658;412;246;-1;
2025-08-07 13:54:06.823;658;412;246;-1;
2025-08-07 13:54:07.322;659;407;252;-1;
2025-08-07 13:54:07.823;659;407;252;-1;
2025-08-07 13:54:08.323;659;408;251;-1;
2025-08-07 13:54:08.823;659;408;251;-1;
2025-08-07 13:54:09.327;659;411;248;-1;
2025-08-07 13:54:09.822;659;411;248;-1;
2025-08-07 13:54:10.326;660;411;249;-1;
2025-08-07 13:54:10.822;660;411;249;-1;
2025-08-07 13:54:11.324;660;410;250;-1;
2025-08-07 13:54:11.823;660;410;250;-1;
2025-08-07 13:54:12.324;660;410;250;-1;
2025-08-07 13:54:12.823;660;410;250;-1;
2025-08-07 13:54:13.322;659;414;245;-1;
2025-08-07 13:54:13.822;659;414;245;-1;
2025-08-07 13:54:13.921;9;write_maxlimit_Modbus. Ecriture Modbus de power_limit = 90% (valeur 900 écrite dans le registre 40189)
2025-08-07 13:54:14.094;9;write_maxlimit_Modbus. Fin d'exécution de la procédure
2025-08-07 13:54:14.322;659;410;249;-1;
2025-08-07 13:54:14.822;659;410;249;-1;
2025-08-07 13:54:15.322;659;410;249;-1;
2025-08-07 13:54:15.822;659;410;249;-1;
2025-08-07 13:54:16.322;659;415;244;-1;
2025-08-07 13:54:16.822;659;415;244;-1;
2025-08-07 13:54:17.322;659;413;246;-1;
2025-08-07 13:54:17.822;659;413;246;-1;
2025-08-07 13:54:18.323;659;415;244;-1;
2025-08-07 13:54:18.822;659;415;244;-1;
2025-08-07 13:54:19.322;659;412;247;-1;
2025-08-07 13:54:19.822;659;412;247;-1;
2025-08-07 13:54:20.322;660;415;245;-1;
2025-08-07 13:54:20.822;660;415;245;-1;
2025-08-07 13:54:21.323;660;415;245;-1;
2025-08-07 13:54:21.822;660;415;245;-1;
2025-08-07 13:54:22.322;660;416;244;-1;
2025-08-07 13:54:22.822;660;416;244;-1;
2025-08-07 13:54:23.322;660;414;246;-1;
2025-08-07 13:54:23.822;660;414;246;-1;
2025-08-07 13:54:24.322;660;409;251;-1;
2025-08-07 13:54:24.822;660;409;251;-1;
2025-08-07 13:54:25.322;661;415;246;-1;
2025-08-07 13:54:25.822;661;415;246;-1;
2025-08-07 13:54:26.322;660;413;247;-1;
2025-08-07 13:54:26.822;660;413;247;-1;
2025-08-07 13:54:27.322;660;413;247;-1;
2025-08-07 13:54:27.822;660;413;247;-1;
2025-08-07 13:54:28.322;660;414;246;-1;
2025-08-07 13:54:28.822;660;414;246;-1;
2025-08-07 13:54:29.321;660;414;246;-1;
2025-08-07 13:54:29.823;660;414;246;-1;
2025-08-07 13:54:30.321;660;412;248;-1;
2025-08-07 13:54:30.822;660;412;248;-1;
2025-08-07 13:54:31.322;660;415;245;-1;
2025-08-07 13:54:31.822;660;415;245;-1;
2025-08-07 13:54:32.330;659;414;245;-1;
2025-08-07 13:54:32.822;659;414;245;-1;
2025-08-07 13:54:33.322;659;414;245;-1;
2025-08-07 13:54:33.822;659;414;245;-1;
2025-08-07 13:54:34.321;660;414;246;-1;
2025-08-07 13:54:34.822;660;414;246;-1;
2025-08-07 13:54:35.321;660;415;245;-1;
2025-08-07 13:54:35.821;660;415;245;-1;
2025-08-07 13:54:36.433;660;414;246;-1;
2025-08-07 13:54:36.852;660;414;246;-1;
2025-08-07 13:54:37.497;660;414;246;-1;
2025-08-07 13:54:37.822;660;414;246;-1;
2025-08-07 13:54:38.381;660;415;245;-1;
2025-08-07 13:54:38.821;660;415;245;-1;
2025-08-07 13:54:39.326;660;416;244;-1;
2025-08-07 13:54:39.822;660;416;244;-1;
2025-08-07 13:54:40.528;659;414;245;-1;
2025-08-07 13:54:40.821;659;414;245;-1;
2025-08-07 13:54:41.325;660;412;248;-1;
2025-08-07 13:54:41.844;660;412;248;-1;
2025-08-07 13:54:42.322;659;412;247;-1;
2025-08-07 13:54:42.821;659;412;247;-1;
2025-08-07 13:54:43.322;660;408;252;-1;
2025-08-07 13:54:43.821;660;408;252;-1;
2025-08-07 13:54:44.321;659;412;247;-1;
2025-08-07 13:54:44.821;659;412;247;-1;
2025-08-07 13:54:45.322;659;414;245;-1;
2025-08-07 13:54:45.821;659;414;245;-1;
2025-08-07 13:54:46.332;660;414;246;-1;
2025-08-07 13:54:46.821;660;414;246;-1;
2025-08-07 13:54:47.325;659;413;246;-1;
2025-08-07 13:54:47.821;659;413;246;-1;
2025-08-07 13:54:47.935;9;write_maxlimit_Modbus. Ecriture Modbus de power_limit = 4% (valeur 40 écrite dans le registre 40189)
2025-08-07 13:54:48.087;9;write_maxlimit_Modbus. Fin d'exécution de la procédure
2025-08-07 13:54:48.325;660;400;260;-1;
2025-08-07 13:54:48.822;660;400;260;-1;
2025-08-07 13:54:49.321;659;400;259;-1;
2025-08-07 13:54:49.821;659;400;259;-1;
2025-08-07 13:54:50.321;658;412;246;-1;
2025-08-07 13:54:50.821;658;412;246;-1;
2025-08-07 13:54:51.321;653;407;246;-1;
2025-08-07 13:54:51.821;653;407;246;-1;
2025-08-07 13:54:52.321;644;397;247;-1;
2025-08-07 13:54:52.821;644;397;247;-1;
2025-08-07 13:54:53.321;633;388;245;-1;
2025-08-07 13:54:53.821;633;388;245;-1;
2025-08-07 13:54:54.335;618;371;247;-1;
2025-08-07 13:54:54.821;618;371;247;-1;
2025-08-07 13:54:55.321;599;355;244;-1;
2025-08-07 13:54:55.820;599;355;244;-1;
2025-08-07 13:54:56.335;577;331;246;-1;
2025-08-07 13:54:56.820;577;331;246;-1;
2025-08-07 13:54:57.336;553;308;245;-1;
2025-08-07 13:54:57.821;553;308;245;-1;
2025-08-07 13:54:58.336;528;284;244;-1;
2025-08-07 13:54:58.821;528;284;244;-1;
